Season,Episode,Date,Title,Rating,Review Count,Synopsis
S2,Ep3,12 Nov. 2002,Day 2: 10:00 a.m.-11:00 a.m.,8.6,"1,528",Jack sends out a warning that CTU is the target of a terrorist attack. Director Mason leaves CTU to personally check up on a lead on the nuclear bomb's location.
S2,Ep4,19 Nov. 2002,Day 2: 11:00 a.m.-12:00 p.m.,8.5,"1,484",CTU is attacked and faces serious casualties. Jack discovers who gave Joseph Wald the schematics for CTU. President Palmer fires Rayburn after Kresge tells him about the 30-minute gap between Jack's warning and the bomb explosion.
S2,Ep5,26 Nov. 2002,Day 2: 12:00 p.m.-1:00 p.m.,8.1,"1,450",Mason and Jack make preparations to interrogate an old enemy who gave the terrorists access to CTU. Tony goes to the Warner household to check up on Reza's possible connection to Syed Ali.
S2,Ep6,3 Dec. 2002,Day 2: 1:00 p.m.-2:00 p.m.,8.3,"1,444",Jack takes charge of the Nina Meyers interrogation. Sherry returns with information on the conspiracy against President Palmer.
S2,Ep7,10 Dec. 2002,Day 2: 2:00 p.m.-3:00 p.m.,8.5,"1,461","Jack boards a plane with Nina Meyers and several FBI agents because they have to meet a contact in Visalia,California who has info on the bomb's location. Nina tries to escape after meeting the contact. President Palmer and Mike Novick try to ascertain NSA Director Stanton's loyalty. Mason tries to make contact with his estranged son. Tony takes Bob Warner and Reza to CTU for further questioning."
S2,Ep8,17 Dec. 2002,Day 2: 3:00 p.m.-4:00 p.m.,8.3,"1,432",Jack and Nina try to get more information out of her contact on the way back to LA. Tony learns of Bob Warner's status as a CIA contractor. Stanton expresses concerns about Sherry's presence as she tries to make a deal with a detained reporter.
S2,Ep9,7 Jan. 2003,Day 2: 4:00 p.m.-5:00 p.m.,8.7,"1,466",The plane carrying Jack and Nina is shot down and together they must fight off a group of soldiers. Mason plays Bob Warner against Reza to find out which one working with the terrorists. Kate Warner is captured and interrogated by Syed Ali. Mason reveals the truth of his condition to Tony.
S2,Ep10,14 Jan. 2003,Day 2: 5:00 p.m.-6:00 p.m.,8.7,"1,445","Jack is captured by Nina Meyers and used as leverage in an attempt to get a presidential pardon. President Palmer learns the identity of one of the conspirators in his administration. After being set free, Reza learns the identity of the person who set him up when he goes to get incriminating evidence on Bob. Jack begins to suspect the soldiers who shot him down were with the NSA as he heads to capture Syed Ali."
S2,Ep11,4 Feb. 2003,Day 2: 6:00 p.m.-7:00 p.m.,8.3,"1,419",Kate Warner leads Jack on mission to locate and id Syed Ali. President Palmer places Stanton under arrest and makes an out of character decision on how to handle the interrogation. CTU discovers that Marie killed Reza and the two agents trailing him.
S2,Ep12,11 Feb. 2003,Day 2: 7:00 p.m.-8:00 p.m.,8.7,"1,453",Jack tries to get information out of Syed Ali. Mason gets Bob Warner to reveal some previously classified history on Marie that paints Reza's murder in a new light. Lynne Kresge becomes suspicious of Sherry.
S2,Ep13,18 Feb. 2003,Day 2: 8:00 p.m.-9:00 p.m.,8.4,"1,413",Jack discovers the bodies of six additional Coral Snake Commandos as a Tactical Team gets closer to the bomb's location. Division sends in Brad Hammond to look into CTU LA's situation. Stanton finally reveals that he has known about the bomb all along and allowed it be smuggled into the country.
S2,Ep14,25 Feb. 2003,Day 2: 9:00 p.m.-10:00 p.m.,8.4,"1,411",Jack and Kate try to get Marie to reveal the exact location of the bomb in the airfield. Mason steps down as Director after his condition worsens. President Palmer confronts Sherry.
S2,Ep15,4 Mar. 2003,Day 2: 10:00 p.m.-11:00 p.m.,9.1,"1,812",Jack must deal with the nuclear bomb at the airport. CTU discovers a recording implicating that Sayed Ali is supported by three presidents of Middle-Eastern countries.
S2,Ep16,25 Mar. 2003,Day 2: 11:00 p.m.-12:00 a.m.,8.3,"1,408","Jack gets back to CTU after the bomb exploded. The situation there is tense since Tony became head of the Unit, especially when a key witness is assassinated. President Palmer and his staff prepare a retaliation on the three countries involved with Ali."
S2,Ep17,1 Apr. 2003,Day 2: 12:00 a.m.-1:00 a.m.,8.0,"1,378",Jack and Kate leave CTU to meet with the lone surviving member of the Coral Snake Commandos who says he has evidence that the tape is fake. President Palmer wants to wait and see what Jack finds out before launching a retaliatory strike.
S2,Ep18,8 Apr. 2003,Day 2: 1:00 a.m.-2:00 a.m.,8.5,"1,398","Jack, Kate, and Yousef try to get Wallace to a hospital after he gets shot by unknown assailants. President Palmer tries to deal with civil unrest as Muslim communities across the country are targeted."
S2,Ep19,15 Apr. 2003,Day 2: 2:00 a.m.-3:00 a.m.,8.3,"1,413",Jack is captured by a group of men working for an oil magnate named Peter Kingsley who's looking to capitalize on the coming war. Lynne Kresge discovers that Vice-President Prescott is planning on seizing the presidency by way of the 25th Amendment. President Palmer deals with some increasingly impatient Joint Chiefs of Staff. Kate and Yusef are attacked by angry American citizens when they try to get the chip behind the Ali recording back to CTU.
S2,Ep20,22 Apr. 2003,Day 2: 3:00 a.m.-4:00 a.m.,8.5,"1,416",Jack tries to escape from the Kingsley's men after being tortured. Lynn Kresge tries to warn President Palmer about VP Prescott. Regional Director Ryan Chappelle returns to CTU and exerts his authority. Kate tries to retrieve the stolen computer chip. President Palmer begins to suspect something is wrong when Prescott won't return his phone calls.
S2,Ep21,29 Apr. 2003,Day 2: 4:00 a.m.-5:00 a.m.,8.6,"1,407",After saving Kate from her attackers Jack heads to meet Alex Hewitt who may be the person who designed the computer chip. President Palmer's ability to the run the country is questioned when the Vice-President and members of the cabinet invoke the 25th Amendment.
S2,Ep22,6 May 2003,Day 2: 5:00 a.m.-6:00 a.m.,8.6,"1,382",Jack discovers that Shery Palmer is somehow involved in the conspiracy when he tries to talk to Alex Hewitt. Tony and Michelle make a critical decision on how to handle the Chappelle situation.
S2,Ep23,13 May 2003,Day 2: 6:00 a.m.-7:00 a.m.,8.6,"1,406",Jack has Sherry contact Peter Kingsley who turns out to be the mastermind behind the tape. Mike Novick realizes that he has made a huge error in judgment in supporting Prescott. Deputy Regional Director Brad Hammond places Tony and Michelle under arrest.
S2,Ep24,20 May 2003,Day 2: 7:00 a.m.-8:00 a.m.,9.0,"1,692","Jack and Sherry head to LA Coliseum to meet Peter Kingsley. Upon hearing evidence via the live audio feed, President Prescott aborts the air strike. David Palmer is reinstated as President, and speaks to the nation about the nuclear bomb."
S3,Ep1,28 Oct. 2003,Day 3: 1:00 p.m.-2:00 p.m.,8.0,"1,516",Three years later; CTU receives a threat that Mexican drug lord Hector Salazar is planning on releasing a deadly contagious virus in LA unless Jack gets his brother Ramone Salazar out of prison. President Palmer prepares for a presidential debate with Senator John Keeler.
S3,Ep2,4 Nov. 2003,Day 3: 2:00 p.m.-3:00 p.m.,7.9,"1,329",After Goss' infected body is dropped at the hospital Jack and Chase begin to trace his last known locations while CTU tries to figure out how the virus is gonna be unleashed to the public at large. Once they figure out it's gonna be spread through cocaine shipments CTU begins to track down drug dealers in East LA. President Palmer considers canceling the debate.
S3,Ep3,11 Nov. 2003,Day 3: 3:00 p.m.-4:00 p.m.,8.3,"1,316",Tony and one of Salazar's cronies close in on a young drug trafficker who may be unknowingly carrying the virus. Jack informs Kyle Singer's parents that he may be infected. Wayne becomes concerned over David's latest affair when he learns the woman's ex-husband will perjure himself over sworn testimony he gave years earlier unless the President pays him not to.
S3,Ep4,18 Nov. 2003,Day 3: 4:00 p.m.-5:00 p.m.,8.3,"1,317",In order to get Ramon out of prison Jack asks for President Palmer's permission to instigate a prison riot. Michelle takes over command of CTU after Tony is injured. Chase disobeys orders and fiercely interrogates Ramon as Jack puts his plan into motion. President Palmer has Wayne call off the meeting with Anne's ex-husband. Drug dealer Kyle Singer is captured by Salazar's men.
S3,Ep5,25 Nov. 2003,Day 3: 5:00 p.m.-6:00 p.m.,8.4,"1,297","Jack and Ramon are captured by dangerous prison inmates after trying to escape. President Palmer begins his debate with Senator Keeler. At CTU, Chloe O'Brian discovers evidence of Jack's heroin addiction."
S3,Ep6,2 Dec. 2003,Day 3: 6:00 p.m.-7:00 p.m.,8.2,"1,289",Jack and Ramon try evade military helicopters when they make a run for a plane scheduled to leave for Mexico. Palmer cancels the debate. Kyle Singer learns that he is not infected with the virus. Kim discovers that Gael Ortega might be working with the Salazars.
S3,Ep7,9 Dec. 2003,Day 3: 7:00 p.m.-8:00 p.m.,8.6,"1,310",Ramon holds Jack hostage as they fly down to Mexico. Regional Director Chappelle interrogates Gael; Tony returns prematurely to CTU to reveal Gael's true allegiance. Chase disobeys orders and heads for Mexico to rescue Jack.
S3,Ep8,16 Dec. 2003,Day 3: 8:00 p.m.-9:00 p.m.,8.3,"1,267",Jack tries to regain the Salazars' trust when they make it to Mexico. President Palmer is angry with Tony over being left out of a secret operation. Chase is captured by Salazar's men.
S3,Ep9,6 Jan. 2004,Day 3: 9:00 p.m.-10:00 p.m.,8.1,"1,256",A snag in the sale of the virus leads the Salazars to question Jack's motivations and as a result they put his allegiances to the test. Claudia works to help Chase escape after Jack informs her of his real priorities. Tony's ability to run CTU is called into question. Palmer is put into a difficult position regarding his brother.
S3,Ep10,13 Jan. 2004,Day 3: 10:00 p.m.-11:00 p.m.,8.3,"1,256","In order to get closer to the virus, Jack tries to make Nina believe he still has feelings for her. Wayne tries to gain the trust of Julia Milliken when Alan Milliken starts making demands. Chase convinces Salazar's girlfriend to help him escape."
S3,Ep11,27 Jan. 2004,Day 3: 11:00 p.m.-12:00 a.m.,8.2,"1,242","Jack and Nina prepare to meet with Amador, the man selling the virus; CTU organizes an ambush. Ramon and Hector have a falling out. President Palmer asks his ex wife Sherry to help with the Milliken situation."
S3,Ep12,3 Feb. 2004,Day 3: 12:00 a.m.-1:00 a.m.,8.5,"1,255",Jack and Nina are double-crossed when Ramon steals the virus during the exchange with Amador. Sherry gains a short-lived advantage in dealing with Alan Milliken.
S3,Ep13,10 Feb. 2004,Day 3: 1:00 a.m.-2:00 a.m.,8.5,"1,257",Nina releases a deadly computer virus into CTU's systems after getting captured by Jack and Chase. Sherry runs out of options and decides to directly confront Alan Milliken but things go too far. Chloe and the rest of the tech crew work overtime to combat the virus.
S3,Ep14,17 Feb. 2004,Day 3: 2:00 a.m.-3:00 a.m.,8.7,"1,311",Regional Director Chappelle forces Jack to undergo a medical evaluation for his heroin addiction. Tony interrogates Nina Meyers. Julia Milliken confronts Sherry after Alan dies while Wayne and President Palmer prepare for the fallout. Nina tries to escape custody after collapsing during the interrogation.
S3,Ep15,24 Feb. 2004,Day 3: 3:00 a.m.-4:00 a.m.,8.4,"1,249",Amador and his people receive orders from their client to release the virus in the Chandler Plaza Hotel. Jack closes in on Amador but it's too late. Michelle and Gael alert the Chandler's Chief of Security to the dangers of the threat.
S3,Ep16,30 Mar. 2004,Day 3: 4:00 a.m.-5:00 a.m.,8.7,"1,270","After the interrogation goes nowhere, Jack and Chase let Amador escape hoping he will lead them to his client's location. Michelle places the hotel under quarantine and must make a difficult decision in how to handle the ensuing panic. President Palmer is put into a awkward position when handling the Milliken situation."
S3,Ep17,6 Apr. 2004,Day 3: 5:00 a.m.-6:00 a.m.,8.6,"1,262",President Palmer gives into Stephen Saunders's strange demand of placing an seemingly nondescript phrase into a speech in the hopes of delaying another viral outbreak. Michelle takes control of the situation inside the hotel. Jack and Chase bring a suspect to the local branch of MI-6 as Saunders launches an attack on the building.
S3,Ep18,18 Apr. 2004,Day 3: 6:00 a.m.-7:00 a.m.,9.1,"1,587",Jack has to comply with another one of Saunders' demands: the death of Regional Director Ryan Chappelle. Michelle discovers that one of the infected hotel patrons got out before the quarantine was enforced.
S3,Ep19,20 Apr. 2004,Day 3: 7:00 a.m.-8:00 a.m.,8.4,"1,244",When CTU learns that Saunders has a daughter attending an LA university they must inform Jack the only match for a bait and switch operation is Kim Bauer. Chase tracks down the man who escaped the hotel quarantine. Palmer informs his cabinet on the dangers of the threat.
S3,Ep20,27 Apr. 2004,Day 3: 8:00 a.m.-9:00 a.m.,8.4,"1,214",Jack works on using Saunders' daughter in an attempt to gain control of the virus. Michelle waits to find out if she's infected. Palmer navigates around a angry and confused press. Saunders starts making demands on Tony.
S3,Ep21,4 May 2004,Day 3: 9:00 a.m.-10:00 a.m.,8.4,"1,238",Tony works covertly to find a way to get Jane Saunders out of CTU and deliver her to Saunders before Jack and Chase find him. Senator Keeler receives some damaging information on President Palmer from a surprising source.
S3,Ep22,11 May 2004,Day 3: 10:00 a.m.-11:00 a.m.,8.8,"1,283",Jack and Tony clash as they wait for the time of hostage exchange with Saunders. Senator Keeler confronts President Palmer about the Milliken cover-up while Wayne initiates a secret operation against Sherry.
S3,Ep23,18 May 2004,Day 3: 11:00 a.m.-12:00 p.m.,8.7,"1,273",Jack and Chase try to track down the location of vials containing the virus. Wayne breaks into Sherry's house to get incriminating evidence as a paranoid Julia Milliken confronts Sherry.
S3,Ep24,25 May 2004,Day 3: 12:00 p.m.-1:00 p.m.,8.9,"1,426",Jack and Chase corner Saunders' henchman Arthur Rabens in an active public school. Tony faces losing command of CTU and treason charges for saving Michelle. An emotionally broken President Palmer decides to drop out of the race for reelection.
S4,Ep0,7 Dec. 2004,Season 4 Prequel,8.0,726,"In the closing moments of Day 3, Jack Bauer gets into his car and breaks down in tears after everything he has endured. He gets a call to report back to CTU, and, after a moment, acknowledges and drives away."
S4,Ep1,9 Jan. 2005,Day 4: 7:00 a.m.-8:00 a.m.,8.3,"1,389","A train collides with a truck filled with explosives. A man is shot. Over the phone, Jack Bauer hears the screams of his kidnapped sweetheart."
S4,Ep2,9 Jan. 2005,Day 4: 8:00 a.m.-9:00 a.m.,8.0,"1,251","Jack is in trouble with his supervisor, and he's on the trail of a killer."
S4,Ep3,10 Jan. 2005,Day 4: 9:00 a.m.-10:00 a.m.,8.0,"1,210",Jack trails a suspect while his supervisor has ordered C.T.U. to bring both of them in.
S4,Ep4,10 Jan. 2005,Day 4: 10:00 a.m.-11:00 a.m.,8.1,"1,220",Jack creates a faux-hostage crisis in a convenience store trapping Kalil and several innocent bystanders to buy Chloe more time to get the surveillance satellite working properly. Dina murders Behrooz's girlfriend after she becomes suspicious. Audrey and Secretary Heller try to escape.
S4,Ep5,17 Jan. 2005,Day 4: 11:00 a.m.-12:00 p.m.,8.1,"1,206","Jack and Director Driscoll agree to a truce and work together after the police make a mistake in handling the Kalil situation, which means that Jack also has to find a new lead. The terrorists begin to threaten Audrey unless Heller confesses to ""war crimes"" on camera in an hour."
S4,Ep6,24 Jan. 2005,Day 4: 12:00 p.m.-1:00 p.m.,8.5,"1,216",Jack initiates a fierce gun battle with the terrorists as he races to rescue Audrey and Secretary Heller before the military strike. Dina is shocked to learn that Navi and Marwan plan to have Behrooz killed. Secretary Heller learns his son is a suspect and allows the interrogation to continue. Curtis Manning learns that the briefcase stolen from the train bombing contains a Dobson Override that could potentially give terrorists control of America's 104 nuclear plants.
