순위,영화명,평점,예매율
1,범죄도시3,7.7,51.0
2,인어공주,2.3,13.7
3,분노의 질주: 라이드 오어 다이,8.2,11.9
4,가디언즈 오브 갤럭시: Volume 3,8.9,10.0
5,남은 인생 10년,8.4,2.5
6,아기공룡 둘리 : 얼음별 대모험 리마스터링,9.0,2.3
7,슈퍼 마리오 브라더스,8.2,1.7
8,극장판 짱구는 못말려: 동물소환 닌자 배꼽수비대,8.9,0.9
9,스즈메의 문단속,7.3,0.7
10,사슴의 왕,7.7,0.5
11,라이드 온,6.8,0.4
12,슬픔의 삼각형,7.5,0.4
13,메리 마이 데드 바디,8.1,0.4
14,스프린터,8.8,0.3
15,극장판 포켓몬스터DP : 아르세우스 초극의 시공으로,8.7,0.3
16,문재인입니다,7.6,0.2
17,존 윅 4,7.5,0.1
18,말없는 소녀,9.6,0.1
19,수라,10.0,0.1
20,나의 사소한 슬픔,0.0,0.1
